MSISDN,Dialed Number,Start Time,Dur(s),Equipment ID,SIM ID,First CGI,Type
9900099001,9811100001,2026-03-04 10:19:00,178,522525354994334,404200040198334,5064-30882,MOC
9811100201,9811100301,2026-03-04 10:32:00,56,751565150936380,404657598670328,8999-49671,MOC
9811100202,9811100301,2026-03-04 10:31:00,30,037327372235377,404820842744452,3705-79339,MOC
9900099001,9833300001,2026-02-07 10:23:00,226,876982473733386,404145514264368,8322-59194,MOC
9900099001,9833300002,2026-02-09 10:23:00,394,353239484928105,404864963965719,5248-43577,MOC
9900099001,9833300003,2026-02-17 10:23:00,110,982658129669211,404232403529541,9989-38106,MOC
9811775891,9867525459,2026-02-10 13:23:00,185,088019948837550,404503731453038,9694-44247,MOC
9811116152,9875161369,2026-02-12 18:23:00,559,933472122816064,404388629127990,1314-93802,MTC
9892832764,9811724005,2026-02-27 22:23:00,114,775949299556205,404567700518449,6521-14880,MOC
9849578856,9849947174,2026-02-02 18:23:00,7,471709991738168,404098180635651,3560-28651,MOC
9804711671,9848175496,2026-02-10 22:23:00,674,288515879968460,404790714163356,5975-84766,MTC
9807991183,9852312432,2026-02-25 23:23:00,361,148564679970246,404547807740649,4122-41281,MTC
9811100103,9850643171,2026-02-18 03:23:00,327,944171545444328,404865577908272,2101-50928,MTC
9810801326,9870348247,2026-02-11 11:23:00,378,811437447012045,404997968845783,9610-74533,MTC
9893676320,9823285884,2026-02-11 22:23:00,188,375899757113055,404757051204618,6744-35283,MTC
9844550229,9864746872,2026-03-01 21:23:00,252,521667467621202,404881172980686,7351-64368,MTC
9864746872,9805466889,2026-02-21 01:23:00,625,269848583339452,404757051204618,5901-85599,MOC
9843039117,9837735158,2026-02-14 08:23:00,624,460223569725217,404347955276365,2232-84134,MOC
9836713695,9847143455,2026-02-19 23:23:00,847,810620034244204,404489554393769,3574-47286,MOC
9878390847,9811592124,2026-02-23 15:23:00,524,099688143536822,404392827229927,4313-95293,MTC
9881223623,9868501429,2026-03-02 15:23:00,579,561100225579415,404757051204618,3849-41478,MTC
9850240268,9823511615,2026-02-09 00:23:00,814,288515879968460,404589026012796,8225-76073,MOC
9826217459,9808613171,2026-02-23 20:23:00,856,810620034244204,404956213721386,7549-88686,MTC
9804556238,9893174612,2026-02-16 22:23:00,330,007229034944665,404892665918463,8628-91587,MOC
9844935348,9847679764,2026-02-15 04:23:00,231,088019948837550,404693084887256,9439-99177,MTC
9874989413,9878961183,2026-02-15 12:23:00,611,447132475469137,404728463920867,2198-61418,MTC
9864887719,9837735158,2026-02-12 07:23:00,128,367850821486289,404988392053021,9031-74471,MTC
9881223623,9811998679,2026-02-12 01:23:00,349,832684245088210,404164334722820,1990-42731,MTC
9818227824,9839005329,2026-02-25 12:23:00,346,447132475469137,404392827229927,9666-31351,MOC
9869985435,9898169340,2026-03-02 16:23:00,604,525007432927129,404508637659916,4908-40598,MOC
9898169340,9840196556,2026-02-21 21:23:00,448,158144914766072,404489554393769,6594-53344,MTC
9893174612,9881219136,2026-02-25 20:23:00,797,909010016761847,404450615939982,3203-15798,MTC
9891022901,9881223623,2026-02-13 17:23:00,208,935387584282417,404865577908272,1026-79019,MTC
9814737996,9895134332,2026-02-14 00:23:00,145,447898562575326,404257991366210,2564-88310,MOC
9883503056,9856482366,2026-02-10 14:23:00,90,158144914766072,404848947697357,9201-90194,MTC
9852427868,9837735158,2026-02-07 00:23:00,73,610357972798552,404042681818451,1308-23416,MTC
9831727889,9883242102,2026-02-14 00:23:00,598,743748969108589,404394278816580,6420-29440,MOC
9875655125,9837735158,2026-02-25 09:23:00,886,375899757113055,404544964759876,4739-32252,MTC
9823685160,9843699577,2026-02-23 12:23:00,80,610357972798552,404450615939982,7688-80472,MOC
9887429671,9857871331,2026-02-06 19:23:00,313,299606530745054,404174564240082,4791-67072,MTC
9875255341,9852312432,2026-02-10 03:23:00,841,832684245088210,404790807595794,3220-27886,MTC
9856049451,9875588675,2026-03-02 16:23:00,428,169797296590277,404428699041379,2994-54916,MTC
9852427868,9837735158,2026-02-26 05:23:00,44,447132475469137,404881172980686,7484-10162,MTC
9891905865,9805466889,2026-02-22 12:23:00,411,230461849926189,404269448695946,9440-79634,MTC
9896965328,9843524082,2026-02-22 20:23:00,460,270808697829221,404503731453038,6949-54374,MTC
9899856984,9875255341,2026-02-02 18:23:00,231,666676008350583,404174564240082,5055-83318,MOC
9874016400,9847143455,2026-02-22 02:23:00,884,935387584282417,404114351906698,3481-90928,MTC
9859407816,9839421047,2026-02-10 01:23:00,85,721753540838663,404735020802144,2344-92504,MOC
9887769453,9837735158,2026-02-09 02:23:00,329,309652074466609,404029922809202,6958-79295,MOC
9811100202,9883242102,2026-02-09 19:23:00,6,380571983863840,404343333952111,5219-78366,MOC
9800766177,9877014363,2026-02-14 12:23:00,578,935387584282417,404270312073564,6502-38434,MOC
9878390847,9816328708,2026-03-01 01:23:00,549,471709991738168,404392827229927,4257-41732,MTC
9859407816,9866319314,2026-02-17 11:23:00,117,375899757113055,404174564240082,9954-58945,MOC
9880988516,9811100201,2026-02-09 10:23:00,96,471709991738168,404892665918463,9020-23671,MTC
9811100103,9809134316,2026-03-02 02:23:00,186,688615335554398,404508637659916,6047-91100,MOC
9856670106,9809477752,2026-02-09 05:23:00,628,699586693465472,404489554393769,3075-20653,MTC
9875161369,9877014363,2026-02-22 23:23:00,12,167014508993588,404269448695946,1873-45061,MOC
9860883561,9833963605,2026-02-14 07:23:00,402,141173934835642,404723460136730,7061-59361,MOC
9861796405,9811724005,2026-02-24 11:23:00,871,414060293333468,404036915594284,4953-75105,MTC
9893745299,9899049027,2026-02-26 10:23:00,200,207501102481934,404757051204618,2133-94028,MOC
9810762268,9840196556,2026-02-12 02:23:00,753,447898562575326,404988392053021,7039-65887,MTC
9899809402,9879955271,2026-03-02 20:23:00,642,380571983863840,404450615939982,7720-19327,MTC
9848175496,9839005329,2026-03-04 01:23:00,854,367850821486289,404723460136730,7194-55090,MTC
9893792374,9875255341,2026-02-27 04:23:00,765,023303070534578,404848947697357,1169-79737,MOC
9803432445,9800978820,2026-02-15 05:23:00,191,811437447012045,404564729293143,7478-70165,MOC
9844997278,9880957015,2026-02-21 19:23:00,840,484085887704358,404392827229927,9402-46505,MOC
9816658760,9811100103,2026-02-25 03:23:00,775,471709991738168,404508637659916,8565-57698,MTC
9893174612,9859407816,2026-02-14 13:23:00,518,288515879968460,404164334722820,5115-30119,MTC
