MSISDN,Start Time,End Time,IP Address,MAC Address,Data Uploaded (KB),Data Downloaded (KB),Destination IP
9811100101,2026-03-04 10:24:41,2026-03-04 10:27:41,49.36.204.198,f6:09:44:0e:46:d7,58,239,103.51.4.2
9811100102,2026-03-04 10:24:26,2026-03-04 10:27:26,49.36.112.81,7a:bd:d9:64:fc:40,12,256,103.51.4.2
9811100103,2026-03-04 10:24:11,2026-03-04 10:26:11,49.36.14.53,c7:81:44:c4:e4:75,70,176,103.51.4.2
9811100201,2026-03-04 10:28:00,2026-03-04 10:30:00,49.36.204.55,0d:ab:69:21:fc:71,17,87,103.51.4.2
9811100202,2026-03-04 10:28:00,2026-03-04 10:30:00,49.36.168.227,aa:4a:e6:77:2f:78,12,20,103.51.4.2
9811100301,2026-03-04 10:28:00,2026-03-04 10:30:00,49.36.68.170,9d:dd:5c:26:93:d1,15,50,103.51.4.2
9866600001,2026-03-02 07:23:00,2026-03-02 07:30:00,100.64.12.40,5e:92:3b:69:96:af,3069,10127,112.145.20.78
9866600001,2026-03-01 17:23:00,2026-03-01 18:12:00,100.64.12.128,5e:92:3b:69:96:af,3205,843,101.79.110.152
9866600001,2026-03-03 13:23:00,2026-03-03 14:01:00,100.64.12.24,5e:92:3b:69:96:af,2052,39396,232.121.165.182
9866600001,2026-03-03 19:23:00,2026-03-03 20:05:00,100.64.12.225,5e:92:3b:69:96:af,4671,7994,18.69.1.191
9866600001,2026-03-01 19:23:00,2026-03-01 19:47:00,100.64.12.217,5e:92:3b:69:96:af,714,38847,93.168.192.206
9866600001,2026-03-03 01:23:00,2026-03-03 01:56:00,100.64.12.247,5e:92:3b:69:96:af,3606,34603,154.24.105.68
9866600001,2026-03-01 22:23:00,2026-03-01 23:06:00,100.64.12.55,5e:92:3b:69:96:af,571,12675,16.43.188.166
9866600001,2026-03-03 13:23:00,2026-03-03 13:42:00,100.64.12.32,5e:92:3b:69:96:af,3298,48528,97.186.48.71
9866600001,2026-03-01 14:23:00,2026-03-01 15:05:00,100.64.12.85,5e:92:3b:69:96:af,188,6103,100.250.195.37
9866600001,2026-03-01 20:23:00,2026-03-01 21:15:00,100.64.12.165,5e:92:3b:69:96:af,3078,42163,232.219.33.16
9866600001,2026-03-02 09:23:00,2026-03-02 09:44:00,100.64.12.121,5e:92:3b:69:96:af,2682,10134,35.174.67.235
9866600001,2026-03-01 17:23:00,2026-03-01 18:19:00,100.64.12.239,5e:92:3b:69:96:af,442,9121,253.113.25.137
9866600001,2026-03-01 12:23:00,2026-03-01 12:35:00,100.64.12.41,5e:92:3b:69:96:af,1375,27508,189.206.232.54
9866600001,2026-02-28 06:23:00,2026-02-28 07:22:00,100.64.12.94,5e:92:3b:69:96:af,1717,47292,213.184.139.247
9866600002,2026-03-02 05:23:00,2026-03-02 05:28:00,100.64.12.224,67:23:de:56:82:f0,3587,45642,98.51.43.183
9866600002,2026-03-03 00:23:00,2026-03-03 00:40:00,100.64.12.199,67:23:de:56:82:f0,2037,38950,92.166.169.153
9866600002,2026-03-03 18:23:00,2026-03-03 18:59:00,100.64.12.135,67:23:de:56:82:f0,3295,41157,178.128.194.135
9866600002,2026-03-02 08:23:00,2026-03-02 09:13:00,100.64.12.137,67:23:de:56:82:f0,1950,20933,35.125.11.202
9866600002,2026-03-04 00:23:00,2026-03-04 00:37:00,100.64.12.118,67:23:de:56:82:f0,319,40625,122.130.23.8
9866600002,2026-03-02 08:23:00,2026-03-02 08:49:00,100.64.12.30,67:23:de:56:82:f0,408,36636,175.163.206.73
9866600002,2026-03-04 01:23:00,2026-03-04 02:18:00,100.64.12.147,67:23:de:56:82:f0,603,36876,118.54.127.174
9866600002,2026-03-01 20:23:00,2026-03-01 20:55:00,100.64.12.41,67:23:de:56:82:f0,4547,40297,106.128.171.224
9866600002,2026-03-03 18:23:00,2026-03-03 19:20:00,100.64.12.55,67:23:de:56:82:f0,3729,18796,200.76.76.109
9866600002,2026-03-02 04:23:00,2026-03-02 05:10:00,100.64.12.88,67:23:de:56:82:f0,2368,10533,76.193.213.45
9866600002,2026-03-04 06:23:00,2026-03-04 07:21:00,100.64.12.69,67:23:de:56:82:f0,4196,38754,225.201.152.186
9866600002,2026-03-01 15:23:00,2026-03-01 15:42:00,100.64.12.162,67:23:de:56:82:f0,4655,31785,190.2.167.243
9866600002,2026-02-28 15:23:00,2026-02-28 16:18:00,100.64.12.47,67:23:de:56:82:f0,1296,9082,6.241.108.165
9867365766,2026-03-03 04:23:00,2026-03-03 05:35:00,169.198.181.208,98:92:6a:12:a9:4f,1187,72534,74.28.213.131
9810310518,2026-02-05 06:23:00,2026-02-05 07:16:00,144.227.180.134,80:3c:6e:0b:86:a5,4577,1485,194.230.200.108
9850240268,2026-02-24 23:23:00,2026-02-24 23:39:00,175.251.12.214,1a:09:4a:fd:01:42,2632,12650,72.34.213.161
9836713695,2026-02-09 17:23:00,2026-02-09 19:19:00,2.121.150.79,31:64:9c:b2:89:c8,9090,63679,52.134.217.148
9800471138,2026-02-20 04:23:00,2026-02-20 06:17:00,102.227.58.21,2e:a4:44:a1:2a:6c,9357,24234,124.154.246.25
9826217459,2026-02-08 09:23:00,2026-02-08 10:44:00,146.139.207.103,a4:5f:81:4e:f0:b9,809,25023,196.228.95.221
9843524082,2026-02-13 15:23:00,2026-02-13 17:08:00,93.27.72.236,ad:55:bf:69:71:2b,5339,78038,248.220.110.49
9881223623,2026-02-18 09:23:00,2026-02-18 09:26:00,178.193.202.140,a9:f9:66:e4:9a:eb,6837,20003,134.190.171.109
9834738299,2026-02-16 16:23:00,2026-02-16 17:17:00,151.147.8.102,3e:77:98:33:79:df,1369,31409,245.55.207.107
9890229413,2026-03-04 01:23:00,2026-03-04 01:40:00,142.203.97.80,ff:12:1a:c6:90:41,3080,35380,171.170.247.72
9881223623,2026-02-19 11:23:00,2026-02-19 12:38:00,207.56.233.164,44:75:3f:bd:80:1c,6792,57351,192.118.136.185
9854516808,2026-02-13 13:23:00,2026-02-13 13:56:00,33.85.23.135,b5:a7:49:eb:5c:3e,5926,84254,135.31.134.1
9819399091,2026-03-01 20:23:00,2026-03-01 20:50:00,36.202.202.29,8f:4e:43:64:43:ed,5131,63634,38.204.5.75
9867525459,2026-03-02 18:23:00,2026-03-02 20:20:00,230.7.175.77,ca:22:d6:c6:88:7d,7655,7579,88.235.156.172
9859514846,2026-02-25 14:23:00,2026-02-25 15:14:00,188.42.155.91,43:b0:a8:81:13:27,2229,5032,244.91.95.237
9850983930,2026-02-06 03:23:00,2026-02-06 04:12:00,176.43.103.9,cf:62:71:03:10:f2,8996,5590,15.127.26.172
9840084271,2026-02-20 07:23:00,2026-02-20 07:51:00,123.159.141.134,f4:7f:68:36:c1:90,2621,18147,225.120.10.176
9861796405,2026-02-22 09:23:00,2026-02-22 09:50:00,9.250.102.38,ca:ea:54:b0:9e:f3,9134,58753,193.30.86.47
9848932528,2026-02-04 20:23:00,2026-02-04 22:03:00,104.243.245.134,93:a8:f1:bd:22:18,2560,81916,120.25.240.250
9806594013,2026-02-26 13:23:00,2026-02-26 15:03:00,46.241.191.97,54:ce:ce:d3:2d:5f,9248,6769,155.89.225.150
9837735158,2026-02-26 18:23:00,2026-02-26 18:57:00,206.23.241.208,1f:96:f9:20:8e:67,8454,92743,115.43.208.241
9878390847,2026-02-16 11:23:00,2026-02-16 11:43:00,230.216.105.4,05:9e:06:b1:5b:0b,2525,98851,32.248.24.223
9853315869,2026-02-13 13:23:00,2026-02-13 15:09:00,166.44.108.176,cd:c8:6a:e1:00:4a,8317,20326,39.216.176.156
9850643171,2026-02-15 00:23:00,2026-02-15 02:05:00,157.142.209.180,6c:4c:84:2c:6c:a7,6273,32957,254.72.244.35
9882071518,2026-02-26 20:23:00,2026-02-26 22:17:00,40.89.206.234,3a:6c:f8:32:3c:c8,312,81888,43.226.79.103
9834738299,2026-02-08 20:23:00,2026-02-08 21:36:00,49.160.125.74,70:40:a3:25:ad:55,9256,89455,38.211.66.138
9838156149,2026-02-27 09:23:00,2026-02-27 10:37:00,36.91.199.134,e2:91:ae:d4:ba:57,5150,82230,22.205.112.91
9805151864,2026-02-17 11:23:00,2026-02-17 12:20:00,254.100.179.254,ed:92:c7:31:0c:03,9270,34062,123.53.129.127
9840084271,2026-02-21 12:23:00,2026-02-21 12:45:00,103.119.250.253,82:fa:a3:76:82:b2,4868,13120,35.127.62.39
9893676320,2026-03-01 10:23:00,2026-03-01 11:20:00,145.13.215.121,75:96:61:6e:00:ab,6092,91027,216.76.40.82
9844997278,2026-02-10 17:23:00,2026-02-10 19:18:00,65.50.114.34,c5:e2:ba:ac:c8:df,1349,64515,119.183.34.13
9881223623,2026-02-02 21:23:00,2026-02-02 21:50:00,66.116.70.225,7c:65:ba:22:36:92,7503,38592,76.149.230.229
9850643171,2026-02-23 19:23:00,2026-02-23 19:28:00,29.253.186.249,8b:80:8b:7e:b0:fe,7081,43030,43.123.147.42
9847143455,2026-02-22 17:23:00,2026-02-22 18:40:00,139.235.115.97,60:96:5c:49:69:5a,5264,72689,9.86.49.34
9834624751,2026-02-17 03:23:00,2026-02-17 04:19:00,34.75.206.222,80:6f:51:de:07:b3,8846,84817,149.2.241.179
9884251354,2026-02-23 14:23:00,2026-02-23 14:53:00,191.214.46.136,0d:97:6b:9a:5b:7e,8207,20898,240.0.95.238
9827484677,2026-02-19 06:23:00,2026-02-19 07:38:00,70.193.197.23,c9:b4:a6:45:f6:b2,7972,34889,73.9.4.86
9874016400,2026-02-20 08:23:00,2026-02-20 09:44:00,59.178.122.162,d5:54:8a:97:1e:aa,9573,83686,116.141.171.69
9893174612,2026-02-22 15:23:00,2026-02-22 15:43:00,35.63.60.37,9d:ff:7b:c6:5b:a3,2605,92287,221.225.175.223
9887429671,2026-02-06 09:23:00,2026-02-06 11:00:00,180.252.188.252,0a:3d:3c:11:a9:44,6275,82916,114.11.224.252
9875255341,2026-02-18 05:23:00,2026-02-18 05:49:00,21.109.118.219,28:f7:59:aa:b6:0e,7204,27271,24.190.160.192
9864887719,2026-02-16 23:23:00,2026-02-16 23:56:00,179.71.19.188,e8:e3:5e:7f:c3:2c,8115,3675,196.44.123.24
9889083863,2026-02-04 22:23:00,2026-02-04 23:17:00,108.121.75.82,1d:27:22:78:25:5a,1974,35662,228.243.222.192
9874074821,2026-03-01 06:23:00,2026-03-01 07:40:00,174.113.229.14,74:6c:0d:21:4f:f9,6612,87019,17.33.96.237
9827849808,2026-02-27 11:23:00,2026-02-27 12:43:00,224.150.118.167,a5:3f:8e:0a:44:3f,6155,32995,252.95.10.29
9893792374,2026-02-07 01:23:00,2026-02-07 03:19:00,174.60.80.94,96:be:8a:ba:e2:4b,5440,41308,36.148.127.152
9810310518,2026-02-08 06:23:00,2026-02-08 07:39:00,191.111.35.220,1d:4b:2d:b2:3e:1b,6484,15313,66.39.150.30
9818227824,2026-02-24 20:23:00,2026-02-24 20:24:00,2.145.0.115,5e:67:ab:9c:ce:6c,6195,69899,193.206.117.32
9892832764,2026-02-11 16:23:00,2026-02-11 17:54:00,127.53.155.170,65:40:0a:b4:54:e5,2809,79088,64.136.132.207
9899809402,2026-02-17 07:23:00,2026-02-17 09:03:00,124.241.97.88,7f:58:6a:e2:86:48,2259,56644,141.83.241.213
9859407816,2026-02-03 02:23:00,2026-02-03 03:24:00,226.81.217.62,c1:ff:ba:7d:f3:30,1373,55803,222.13.218.119
9823226025,2026-02-07 08:23:00,2026-02-07 09:58:00,177.67.164.64,3e:62:6a:5d:fb:47,3926,33986,32.122.180.229
9857986872,2026-02-04 17:23:00,2026-02-04 18:11:00,57.205.109.152,a0:e2:fc:b4:ea:dd,425,72163,236.14.28.8
9849947174,2026-02-27 10:23:00,2026-02-27 10:36:00,226.142.113.201,72:c0:71:fa:0e:9b,7110,90329,161.49.247.241
9820377889,2026-02-16 22:23:00,2026-02-17 00:04:00,61.139.195.144,3a:71:14:54:4c:dc,3387,62198,87.12.148.6
9883242102,2026-02-21 04:23:00,2026-02-21 04:59:00,252.17.253.196,e6:61:01:15:ff:ab,8690,13945,10.223.63.251
9829042284,2026-02-14 02:23:00,2026-02-14 03:55:00,9.248.178.141,1f:d2:ff:08:59:93,2942,67927,249.25.170.208
9849947174,2026-02-26 11:23:00,2026-02-26 12:25:00,137.141.105.171,a8:2d:8f:bb:e8:a7,2337,31791,25.189.171.228
